Plik,Kolory,Rezystancja
resistor (1).jpg,RED-ORANGE-RED-ORANGE-BROWN,2300
resistor (10).jpg,GRAY-BROWN,BRAK
resistor (100).jpg,,BRAK
resistor (1000).jpg,BROWN-BROWN-BLACK-GREEN-BROWN,11
resistor (10000).jpg,RED-ORANGE-VIOLET-GRAY-YELLOW,230000000
resistor (10001).jpg,BLACK-YELLOW-VIOLET-ORANGE-RED,40000000
resistor (10002).jpg,RED-ORANGE-BROWN-VIOLET-GRAY,230
resistor (10003).jpg,BLACK-YELLOW-VIOLET-ORANGE-RED,40000000
resistor (10004).jpg,RED-GRAY-BROWN-ORANGE-VIOLET,280
resistor (10005).jpg,RED-BROWN-ORANGE,21000
resistor (10006).jpg,GRAY-GRAY-RED-BROWN-ORANGE,8800
resistor (10007).jpg,RED-BROWN-ORANGE-GRAY-YELLOW,21000
resistor (10008).jpg,BLACK-BLACK-RED-GRAY,BRAK
resistor (10009).jpg,RED-ORANGE-VIOLET-YELLOW,230000000
resistor (1001).jpg,BROWN-RED-BROWN,120
resistor (10010).jpg,RED-ORANGE-BROWN-VIOLET-YELLOW,230
resistor (10011).jpg,RED-ORANGE-VIOLET-YELLOW-GRAY,230000000
resistor (10012).jpg,YELLOW-VIOLET-ORANGE-BROWN-RED,47000
resistor (10013).jpg,RED-ORANGE-YELLOW,230000
resistor (10014).jpg,RED-BROWN-ORANGE-VIOLET,21000
resistor (10015).jpg,RED-ORANGE-VIOLET-YELLOW,230000000
resistor (10016).jpg,RED-BROWN-ORANGE-VIOLET-GRAY,21000
resistor (10017).jpg,RED-ORANGE-BROWN-YELLOW-GRAY,230
resistor (10018).jpg,YELLOW-RED,BRAK
resistor (10019).jpg,YELLOW-VIOLET-BROWN-ORANGE-RED,470
resistor (1002).jpg,RED-GREEN-RED,2500
resistor (10020).jpg,RED-ORANGE-BROWN-YELLOW-GRAY,230
resistor (10021).jpg,RED-ORANGE-YELLOW,230000
resistor (10022).jpg,RED-YELLOW-WHITE,24000000000
resistor (10023).jpg,RED-ORANGE-BROWN-VIOLET-YELLOW,230
resistor (10024).jpg,RED-ORANGE-VIOLET-YELLOW-GRAY,230000000
resistor (10025).jpg,RED-ORANGE-VIOLET-YELLOW,230000000
resistor (10026).jpg,RED-ORANGE-YELLOW,230000
resistor (10027).jpg,RED-ORANGE-VIOLET-YELLOW,230000000
resistor (10028).jpg,YELLOW-VIOLET-RED,4700
resistor (10029).jpg,BROWN-RED,BRAK
resistor (1003).jpg,BLACK-GREEN-BLACK-BROWN-RED,5
resistor (10030).jpg,BROWN-RED-BLACK,12
resistor (10031).jpg,RED-BROWN-ORANGE-VIOLET-YELLOW,21000
resistor (10032).jpg,RED-VIOLET-YELLOW,270000
resistor (10033).jpg,RED-ORANGE-BROWN-VIOLET-YELLOW,230
resistor (10034).jpg,RED-BROWN,BRAK
resistor (10035).jpg,RED-ORANGE-BROWN-YELLOW,230
resistor (10036).jpg,RED-BROWN-ORANGE-YELLOW,21000
resistor (10037).jpg,RED-ORANGE-VIOLET-GRAY-GRAY,230000000
resistor (10038).jpg,YELLOW-RED-BLACK,42
resistor (10039).jpg,RED,BRAK
resistor (1004).jpg,BROWN-BROWN-RED-BROWN-GRAY,1100
resistor (10040).jpg,YELLOW-ORANGE-RED-BLACK,4300
resistor (10041).jpg,YELLOW-VIOLET-BROWN-ORANGE-GRAY,470
resistor (10042).jpg,RED-ORANGE-VIOLET-YELLOW-GRAY,230000000
resistor (10043).jpg,RED-ORANGE-VIOLET-YELLOW-GRAY,230000000
resistor (10044).jpg,BROWN-YELLOW-VIOLET-RED-BLACK,140000000
resistor (10045).jpg,RED-BLACK,BRAK
resistor (10046).jpg,YELLOW-VIOLET-BROWN-ORANGE-RED,470
resistor (10047).jpg,RED-WHITE-YELLOW,290000
resistor (10048).jpg,RED-ORANGE-VIOLET-YELLOW-GRAY,230000000
resistor (10049).jpg,GRAY-YELLOW-VIOLET-ORANGE-RED,840000000
resistor (1005).jpg,BLACK-GRAY-GRAY-GRAY-GRAY,800000000
resistor (10050).jpg,RED-YELLOW,BRAK
resistor (10051).jpg,BROWN-RED-ORANGE-VIOLET-YELLOW,12000
resistor (10052).jpg,RED-YELLOW,BRAK
resistor (10053).jpg,BROWN-RED-ORANGE-VIOLET-YELLOW,12000
resistor (10054).jpg,BROWN-RED-ORANGE-VIOLET-ORANGE,12000
resistor (10055).jpg,BROWN-RED-ORANGE-VIOLET-YELLOW,12000
resistor (10056).jpg,RED-YELLOW-BROWN,240
resistor (10057).jpg,RED-ORANGE-YELLOW-GRAY-GRAY,230000
resistor (10058).jpg,ORANGE-RED,BRAK
resistor (10059).jpg,RED-BROWN,BRAK
resistor (1006).jpg,BLACK-GREEN-BLACK-RED,5
resistor (10060).jpg,RED-ORANGE-YELLOW-YELLOW,230000
resistor (10061).jpg,RED-ORANGE-VIOLET-YELLOW-GRAY,230000000
resistor (10062).jpg,YELLOW-ORANGE-RED-BLACK,4300
resistor (10063).jpg,WHITE-YELLOW-WHITE-RED-WHITE,94000000000
resistor (10064).jpg,RED-ORANGE-VIOLET-YELLOW-GRAY,230000000
resistor (10065).jpg,YELLOW-ORANGE-RED-BROWN-BLACK,4300
resistor (10066).jpg,WHITE-RED-YELLOW,920000
resistor (10067).jpg,RED-ORANGE-VIOLET-ORANGE-YELLOW,230000000
resistor (10068).jpg,BROWN-RED-ORANGE-VIOLET-YELLOW,12000
resistor (10069).jpg,GRAY-GRAY-GRAY-GRAY-GRAY,8800000000
resistor (1007).jpg,RED-GREEN-RED,2500
resistor (10070).jpg,RED-ORANGE-VIOLET-YELLOW,230000000
resistor (10071).jpg,RED-ORANGE-GRAY-BROWN,2300000000
resistor (10072).jpg,BLACK-GRAY-ORANGE-RED-BLACK,8000
resistor (10073).jpg,BLACK-BROWN-YELLOW-ORANGE-RED,10000
resistor (10074).jpg,GRAY-GRAY-GRAY-BLACK-ORANGE,8800000000
resistor (10075).jpg,RED-ORANGE-GRAY-YELLOW,2300000000
resistor (10076).jpg,BLACK-RED-BROWN-BLACK-BROWN,20
resistor (10077).jpg,GRAY-RED-ORANGE-VIOLET,82000
resistor (10078).jpg,RED-ORANGE-VIOLET-GRAY,230000000
resistor (10079).jpg,BLACK-BLACK-RED-BLACK,BRAK
resistor (1008).jpg,BROWN-BLACK-GREEN-BLACK-RED,1000000
resistor (10080).jpg,BLACK-BLACK-BLACK-BLACK-RED,BRAK
resistor (10081).jpg,RED-ORANGE-GRAY,2300000000
resistor (10082).jpg,GRAY-BLACK-RED-WHITE-WHITE,8000
resistor (10083).jpg,RED-ORANGE-GRAY,2300000000
resistor (10084).jpg,RED-ORANGE-VIOLET-GRAY,230000000
resistor (10085).jpg,BLACK-YELLOW-RED,400
resistor (10086).jpg,GRAY-BLACK-GRAY-GRAY-BROWN,8000000000
resistor (10087).jpg,RED-BROWN-ORANGE-GRAY-YELLOW,21000
resistor (10088).jpg,RED-BROWN-ORANGE-GRAY,21000
resistor (10089).jpg,BLACK-BLACK-RED-BLACK,BRAK
resistor (1009).jpg,BLACK-GREEN-RED,500
resistor (10090).jpg,BLACK-RED-ORANGE-VIOLET-BLACK,2000
resistor (10091).jpg,RED-BROWN-ORANGE-GRAY,21000
resistor (10092).jpg,RED-GRAY-BROWN-ORANGE,280
resistor (10093).jpg,BLACK-RED-BROWN-BLACK,20
resistor (10094).jpg,BLACK-ORANGE-RED,300
resistor (10095).jpg,RED-ORANGE-VIOLET-GRAY,230000000
resistor (10096).jpg,RED-GRAY-ORANGE,28000
resistor (10097).jpg,RED-BROWN-ORANGE-GRAY-VIOLET,21000
resistor (10098).jpg,RED-ORANGE-VIOLET-GRAY,230000000
resistor (10099).jpg,BLACK-RED-BLACK-BROWN-BLACK,2
resistor (101).jpg,RED-RED,BRAK
resistor (1010).jpg,GREEN-BROWN-RED-BROWN-WHITE,5100
resistor (10100).jpg,RED-ORANGE-BROWN,230
resistor (10101).jpg,BLACK-ORANGE-RED,300
resistor (10102).jpg,RED-BROWN-ORANGE,21000
resistor (10103).jpg,RED-ORANGE-VIOLET-BROWN-GRAY,230000000
resistor (10104).jpg,RED-ORANGE-GRAY,2300000000
resistor (10105).jpg,RED-ORANGE-YELLOW-GRAY,230000
resistor (10106).jpg,BLACK-RED,BRAK
resistor (10107).jpg,BLACK-BROWN-RED,100
resistor (10108).jpg,BLACK-VIOLET-RED-BLACK,700
resistor (10109).jpg,GRAY,BRAK
resistor (1011).jpg,BLACK-RED,BRAK
resistor (10110).jpg,RED-BROWN-ORANGE-VIOLET-GRAY,21000
resistor (10111).jpg,RED-ORANGE-GRAY-VIOLET-YELLOW,2300000000
resistor (10112).jpg,RED-ORANGE-VIOLET-YELLOW-GRAY,230000000
resistor (10113).jpg,GRAY-BLACK-RED-WHITE-YELLOW,8000
resistor (10114).jpg,RED-YELLOW,BRAK
resistor (10115).jpg,RED-VIOLET,BRAK
resistor (10116).jpg,BROWN-BLACK-RED,1000
resistor (10117).jpg,GRAY-GRAY-GRAY,8800000000
resistor (10118).jpg,RED-VIOLET,BRAK
resistor (10119).jpg,RED-VIOLET-YELLOW,270000
resistor (1012).jpg,BLACK-GREEN-RED,500
resistor (10120).jpg,RED-VIOLET-YELLOW,270000
resistor (10121).jpg,BROWN-RED,BRAK
resistor (10122).jpg,RED,BRAK
resistor (10123).jpg,RED-GRAY,BRAK
resistor (10124).jpg,GRAY-RED,BRAK
resistor (10125).jpg,RED-BROWN,BRAK
resistor (10126).jpg,RED,BRAK
resistor (10127).jpg,RED-VIOLET-YELLOW-GRAY,270000
resistor (10128).jpg,RED-BLUE-BROWN,260
resistor (10129).jpg,WHITE-VIOLET-RED,9700
resistor (1013).jpg,BLACK-ORANGE-ORANGE-BROWN-RED,3000
resistor (10130).jpg,WHITE-GRAY-WHITE,98000000000
resistor (10131).jpg,GRAY-GRAY-GRAY,8800000000
resistor (10132).jpg,RED-VIOLET-YELLOW-BROWN-GRAY,270000
resistor (10133).jpg,GRAY-GRAY-GRAY,8800000000
resistor (10134).jpg,,BRAK
resistor (10135).jpg,RED-YELLOW,BRAK
resistor (10136).jpg,RED-VIOLET-YELLOW,270000
resistor (10137).jpg,RED-YELLOW,BRAK
resistor (10138).jpg,RED,BRAK
resistor (10139).jpg,RED-VIOLET,BRAK
resistor (1014).jpg,BLACK-BLACK-RED-BROWN-BROWN,BRAK
resistor (10140).jpg,RED-VIOLET,BRAK
resistor (10141).jpg,,BRAK
resistor (10142).jpg,RED,BRAK
resistor (10143).jpg,RED-VIOLET-BROWN-GRAY,270
resistor (10144).jpg,RED-VIOLET,BRAK
resistor (10145).jpg,,BRAK
resistor (10146).jpg,RED-VIOLET,BRAK
resistor (10147).jpg,RED-BROWN,BRAK
resistor (10148).jpg,RED,BRAK
resistor (10149).jpg,RED-VIOLET-YELLOW,270000
resistor (1015).jpg,BLACK-GREEN-BLACK-BROWN-RED,5
